,Contributors,Contributor_type,Date,Set,Genre,Description,Type_of_resource,Source_collection,Language,Medium,Original_format,Part_of,Repository,Subjects,Subject_headings,Title
14,"Leffler, Warren K",Photographer,1971,Nurses-And-Nursing,,,Still image,,English,1 negative : film.,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",film negatives | washington (d.c.) | drug abuse | clinics | nurses,Clinics--Washington (D.C.)--1970-1980 | Drug abuse--Washington (D.C.)--1970-1980 | Nurses--Washington (D.C.)--1970-1980,"[A nurse hands a cup of methadone to a man in a medical clinic  at 456 C St., N.W., Washington, D.C.]"
15,Unknown,,1865,Nurses-And-Nursing,Stereographs--1860-1870 | Albumen prints--1860-1870,"Photograph shows Dorothea L. Dix, Superintendent of Army Nurses for the Union Army, holding a book and sitting in a room with a medical bag on the floor.",Still image,Liljenquist Family collection (Library of Congress),English,1 photograph : albumen print on card mount ; mount 9 x 18 cm (stereograph format),"Photo, print, drawing",lot 14043 | prints and photographs division | liljenquist family collection of civil war photographs | catalog | civil war,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | history | women | union | stereographs | dix, dorothea lynde | united states | medical aspects | nurses | albumen prints | civil war","Nurses--Washington (D.C.)--1860-1870 | Dix, Dorothea Lynde,--1802-1887 | United States--History--Civil War, 1861-1865--Medical aspects--Union | United States--History--Civil War, 1861-1865--Women","Miss D.L. Dix, Washington, D.C."
25,Unknown,,1920,Nurses-And-Nursing,Glass negatives,,Still image,American National Red Cross photograph collection (Library of Congress),English,1 negative : glass ; 5 x 7 in.,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | united states | american red cross | district of columbia | glass negatives,United States--District of Columbia--Washington (D.C.) | American Red Cross,Eye Tray. Army Training School for Nurses. Walter Reed Hospital
87,Harris & Ewing,Photographer,1916,Birthdays,Glass negatives,"Photo shows Gertrude Crocker (right, wearing wide-brimmed hat), holding cake with another woman, possibly her sister Ruth, in front of the Congressional Union for Woman Suffrage at 21 Madison Place, Washington, D.C. Crocker was Assistant Treasurer or Treasurer of the National Woman's Party at the time.",Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 5 x 7 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),WOMAN SUFFRAGE. BIRTHDAY CAKE
91,Unknown,,1920,Birthdays,,,Unspecified,Horydczak photograph collection (Library of Congress),English,1 negative : glass ; 5 x 7 in.,"Photo, print, drawing",prints and photographs division | horydczak collection | american memory,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",washington (d.c.) | portrait photographs | group portraits | birthday parties | children | united states | district of columbia | glass negatives,United States--District of Columbia--Washington (D.C.) | District Of Columbia--Washington (D.C.) | Children. | Birthday parties.,Theodor Horydczak and family. Norma Horydczak and friends at her 8th year birthday party IV
92,"Parks, Gordon",Photographer,1942,Birthdays,Safety film negatives,,Still image,Farm Security Administration - Office of War Information Photograph Collection (Library of Congress),English,1 negative : safety ; 4 x 5 inches or smaller.,"Photo, print, drawing",lot 160 | prints and photographs division | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | safety film negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Washington, D.C. Pouring lemonade at a birthday party on Seaton Road"
93,Harris & Ewing,Photographer,1938,Birthdays,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | prints & photographs online catalog (library of congress) | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"FIRST LADY CUTS PRESIDENT'S BIRTHDAY CAKE. WASHINGTON, D.C. JANUARY 29. MRS. ROOSEVELT CLIMAXES HER VISITS TO THE NUMEROUS BIRTHDAY BALLS FOR THE PRESIDENT BY CUTTING THE HUGE BIRTHDAY CAKE AT THE WILLARD HOTEL"
131,"Jackson, William Henry",Photographer,1902,Main-Streets,Dry plate negatives,,Still image,Detroit Publishing Company photograph collection (Library of Congress),English,1 negative : glass ; 8 x 10 in.,"Photo, print, drawing",detroit publishing company | prints and photographs division | catalog | american memory,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | united states | commercial facilities | dry plate negatives | district of columbia | streets,United States--District of Columbia--Washington (D.C.) | Streets | Commercial facilities,"Pennsylvania Avenue, Washington"
182,"Johnston, Frances Benjamin",Photographer,1899,Teachers-And-Students,Cyanotypes--1890-1900,,Still image,"Johnston, Frances Benjamin,1864-1952. Washington, D.C., school survey",English,1 photographic print : cyanotype.,"Photo, print, drawing",prints and photographs division | lot 2749 | johnston (frances benjamin) collection | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",washington (d.c.) | cyanotypes | education,Education--Washington (D.C.)--1890-1900,"[A chemistry lab, Central High School]"
183,"Johnston, Frances Benjamin",Photographer,1899,Teachers-And-Students,Cyanotypes--1890-1900,,Still image,"Johnston, Frances Benjamin,1864-1952. Washington, D.C., school survey",English,1 photographic print : cyanotype.,"Photo, print, drawing",prints and photographs division | lot 2749 | johnston (frances benjamin) collection | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",washington (d.c.) | cyanotypes | education,Education--Washington (D.C.)--1890-1900,[A visit to the Library of Congress]
