Call_number,Contributors,Date_text,Date,Digitized,Set,Genre,Id,IIIF_manifest,Preview_url,Index,Type_of_resource,MODS Record,MARC Record,Dublin Core Record,MARCXML Record,Rights,Source_collection,Language,Lccn,Medium,Mime_type,Notes,Online_format,Original_format,Part_of,Repository,Number_of_files,Shelf_id,Subjects,Last_updated_in_api,Title,Url,Creators_names,Creators_roles,Location_text,Subject_headings,Location_Short_name,Location_Full_name,Location_Osm_url,Location_Latitude,Location_Longitude,Location_County,Location_State_district,Location_State,Location_Country,Description,Other_title,METSXML Record
LC-F8- 19031 [P&P],Unknown,[19]22 May 31.,1922,True,Tennis,Glass negatives,http://www.loc.gov/item/2016832837/,http://www.loc.gov/item/2016832837/manifest.json,https://tile.loc.gov/storage-services/service/pnp/npcc/06400/06492_150px.jpg#h=122&w=150 | https://tile.loc.gov/storage-services/service/pnp/npcc/06400/06492t.gif#h=122&w=150 | https://tile.loc.gov/storage-services/service/pnp/npcc/06400/06492v.jpg#h=834&w=1024 | https://tile.loc.gov/storage-services/service/pnp/npcc/06400/06492r.jpg#h=521&w=640,1,Still image,https://lccn.loc.gov/2016832837/mods,//www.loc.gov/pictures/item/2016832837/marc/,https://lccn.loc.gov/2016832837/dc,https://lccn.loc.gov/2016832837/marcxml,"No known restrictions on publication. For more information, see National Photo Company Collection - Rights and Restrictions Information https://www.loc.gov/rr/print/res/275_npco.html | <p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p> <p>Ultimately, it is the researcher's obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library's collections. </p> <p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/275_npco.html"">National Photo Company Collection - Rights and Restrictions Information</a> </p>   ",National Photo Company Collection (Library of Congress),English,2016832837,1 negative : glass ; 4 x 5 in. or smaller,image/jpg | image/gif | image/tif,Temp. note: Batch two. | General information about the National Photo Company collection is available at http://hdl.loc.gov/loc.pnp/pp.npco | This glass negative might show streaks and other blemishes resulting from a natural deterioration in the original coatings. | Title devised by Library staff. | Gift; Herbert A. French; 1947.,Image,"Photo, print, drawing",national photo company collection | prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1.0,LC-F8- 19031 [P&P],glass negatives,2021-09-04T14:10:37.158Z,"[Four unidentified women on tennis court], 5/31/22",https://www.loc.gov/item/2016832837/,,,,,,,,,,,,,,,,
LC-USW3- 003685-E [P&P],"Collins, Marjory, 1912-1985, photographer.",1942 May-June.,1942,True,Athletes,Nitrate negatives,http://www.loc.gov/item/2017832209/,http://www.loc.gov/item/2017832209/manifest.json,https://tile.loc.gov/storage-services/service/pnp/fsa/8d21000/8d21100/8d21117r.jpg#h=640&w=620 | https://tile.loc.gov/storage-services/service/pnp/fsa/8d21000/8d21100/8d21117_150px.jpg#h=150&w=145 | https://tile.loc.gov/storage-services/service/pnp/fsa/8d21000/8d21100/8d21117v.jpg#h=1024&w=991 | https://tile.loc.gov/storage-services/service/pnp/fsa/8d21000/8d21100/8d21117t.gif#h=150&w=144,1,Still image,https://lccn.loc.gov/2017832209/mods,https://www.loc.gov/pictures/item/2017832209/marc/,https://lccn.loc.gov/2017832209/dc,https://lccn.loc.gov/2017832209/marcxml,"<p>The contents of the Library of Congress Farm Security Administration/Office of War Information Black-and-White Negatives are in the public domain and are free to use and reuse.</p>  <p> Credit Line: Library of Congress, Prints &amp; Photographs Division, Farm Security Administration/Office of War Information Black-and-White Negatives.</p>  <p>For information about reproducing, publishing, and citing material from this collection, as well as access to the original items, see: <a href=""https://www.loc.gov/rr/print/res/071_fsab.html"">U.S. Farm Security Administration/Office of War Information Black &amp; White Photographs - Rights and Restrictions Information</a>  </p>  <p>More about <a href=""/legal/"">Copyright and other Restrictions</a> </p>  <p>For guidance about compiling full citations consult <a href=""https://www.loc.gov/teachers/usingprimarysources/citing.html"">Citing Primary Sources</a>.</p> | No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html",Farm Security Administration - Office of War Information photograph collection (Library of Congress),English,2017832209,1 negative : nitrate ; 2 1/4 x 2 1/4 inches or smaller.,image/jpg | image/gif | image/tif,"Appears to be related to negative LC-USW3-003687-E https://www.loc.gov/pictures/item/2017832211/ | Temp. note: owibatch1 | Film copy on SIS roll 10, frame 1082. | Title and other information from a possibly related negative. Image came to Library of Congress untitled. (There was no caption for this image in the FSA/OWI shelflist.) | More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi | Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.",Image,"Photo, print, drawing",prints and photographs division | catalog | american memory | farm security administration/office of war information black-and-white negatives,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1.0,LC-USW3- 003685-E [P&P],nitrate negatives | greenbelt | maryland | united states | prince george's county,2021-09-04T15:49:41.467Z,"[Untitled photo, possibly related to: Greenbelt, Maryland. Handball courts behind the swimming pool]",https://www.loc.gov/item/2017832209/,"Collins, Marjory, 1912-1985",photographer,Prince George'S County | Maryland--Prince George's County--Greenbelt | Maryland | United States | Greenbelt,United States--Maryland--Prince George's County--Greenbelt,Prince George's County | Maryland | Greenbelt | United States,"Prince George's County, Maryland, United States | Maryland, United States | Greenbelt, Mandan Road, Glen Oaks Apartments, Greenbelt, Prince George's County, Maryland, 20070, United States | United States",https://www.openstreetmap.org/relation/936412 | https://www.openstreetmap.org/relation/162112 | https://www.openstreetmap.org/relation/133737 | https://www.openstreetmap.org/relation/148838,38.803929 | 39.5162401 | 38.9933654 | 39.7837304,-76.8518695 | -76.9382069 | -76.88333238304114 | -100.445882,Prince George's County | Unknown | Prince George's County | Unknown,Unknown | Unknown | Unknown | Unknown,Maryland | Maryland | Maryland | Unknown,United States | United States | United States | United States,,,
G3200 1811 .V2,"Van Schaack, Mary.",,1811,True,Discovery-And-Exploration,,http://www.loc.gov/item/99463788/,http://www.loc.gov/item/99463788/manifest.json,https://tile.loc.gov/storage-services/service/gmd/gmd3/g3200/g3200/awh00011.gif | https://tile.loc.gov/storage-services/service/gmd/gmd3/g3200/g3200/awh00011.gif#h=150&w=275 | https://tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3200:g3200:awh00011/full/pct:12.5/0/default.jpg#h=236&w=432 | https://tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3200:g3200:awh00011/full/pct:25/0/default.jpg#h=472&w=865,1,Cartographic,https://lccn.loc.gov/99463788/mods,,https://lccn.loc.gov/99463788/dc,https://lccn.loc.gov/99463788/marcxml,"<p>The maps in the Map Collections materials were either published prior to  1922, produced by the United States government, or both (see catalogue  records that accompany each map for information regarding date of  publication and source). The Library of Congress is providing access to  these materials for educational and research purposes and is not aware of  any U.S. copyright protection (see Title 17 of the United States Code) or any  other restrictions in the Map Collection materials. </p> <p>Note that the written permission of the copyright owners and/or other rights  holders (such as publicity and/or privacy rights) is required for distribution,  reproduction, or other use of protected items beyond that allowed by fair use  or other statutory exemptions.  Responsibility for making an independent  legal assessment of an item and securing any necessary permissions  ultimately rests with persons desiring to use the item. </p> <p>Credit Line: Library of Congress, Geography and Map Division. </p>",,English,99463788,"1 map : ms., col. ; 2 hemispheres each 32 cm. in diam., on sheet 40 x 68 cm.",image/tiff | image/gif | image/jpeg | image/jp2,Pen-and-ink and watercolor. | Available also through the Library of Congress Web site as a raster image. | Vault | Acquisitions control no. 99-42,Image,Map,geography and map division | american women: a gateway to library of congress resources for the study of women's history and culture in the united states | american memory | discovery and exploration | catalog,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",2.0,G3200 1811 .V2,"earth | world maps, manuscript",2021-11-18T16:21:03.623Z,Map of the world with the most recent discoveries.,https://www.loc.gov/item/99463788/,,,Earth,"Earth | World maps, Manuscript",Earth,"Earth, Lamb County, Texas, United States",https://www.openstreetmap.org/relation/6595891,34.2331373,-102.4107493,Lamb County,Unknown,Texas,United States,,,
"PRES FILE - Cleveland, Grover <item> [P&P]",Unknown,c1888.,1888,True,Presidential-Portraits,,http://www.loc.gov/item/96511406/,http://www.loc.gov/item/96511406/manifest.json,https://tile.loc.gov/storage-services/service/pnp/cph/3b30000/3b37000/3b37800/3b37829_150px.jpg | https://tile.loc.gov/storage-services/service/pnp/cph/3b30000/3b37000/3b37800/3b37829_150px.jpg#h=150&w=120 | https://tile.loc.gov/storage-services/service/pnp/cph/3b30000/3b37000/3b37800/3b37829t.gif#h=150&w=120 | https://tile.loc.gov/storage-services/service/pnp/cph/3b30000/3b37000/3b37800/3b37829r.jpg#h=640&w=514,1,Still image,https://lccn.loc.gov/96511406/mods,https://www.loc.gov/pictures/item/96511406/marc/,https://lccn.loc.gov/96511406/dc,https://lccn.loc.gov/96511406/marcxml,No known restrictions on publication.,,English,96511406,1 photographic print.,image/jpg | image/gif | image/jpeg | image/tif,No. 4. | Copyright by C.M. Bell.,Image,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",1.0,"PRES FILE - Cleveland, Grover <item> [P&P]","cleveland, grover | photographic prints | portrait photographs",2021-08-28T14:06:09.972Z,"[President Grover Cleveland, half-length portrait, facing right]",https://www.loc.gov/item/96511406/,,,,"Cleveland, Grover,--1837-1908",,,,,,,,,,,,
LC-USW3- 014844-C [P&P] LOT 682 (associated LOT),"Parks, Gordon, 1912-2006, photographer.",1943 Jan.,1943,True,Teachers-And-Students,Safety film negatives,http://www.loc.gov/item/2017843211/,http://www.loc.gov/item/2017843211/manifest.json,https://tile.loc.gov/storage-services/service/pnp/fsa/8d12000/8d12500/8d12511r.jpg#h=640&w=542 | https://tile.loc.gov/storage-services/service/pnp/fsa/8d12000/8d12500/8d12511t.gif#h=150&w=127 | https://tile.loc.gov/storage-services/service/pnp/fsa/8d12000/8d12500/8d12511v.jpg#h=1024&w=867 | https://tile.loc.gov/storage-services/service/pnp/fsa/8d12000/8d12500/8d12511_150px.jpg#h=150&w=127,1,Still image,https://lccn.loc.gov/2017843211/mods,//www.loc.gov/pictures/item/2017843211/marc/,https://lccn.loc.gov/2017843211/dc,https://lccn.loc.gov/2017843211/marcxml,"<p>The contents of the Library of Congress Farm Security Administration/Office of War Information Black-and-White Negatives are in the public domain and are free to use and reuse.</p>  <p> Credit Line: Library of Congress, Prints &amp; Photographs Division, Farm Security Administration/Office of War Information Black-and-White Negatives.</p>  <p>For information about reproducing, publishing, and citing material from this collection, as well as access to the original items, see: <a href=""https://www.loc.gov/rr/print/res/071_fsab.html"">U.S. Farm Security Administration/Office of War Information Black &amp; White Photographs - Rights and Restrictions Information</a>  </p>  <p>More about <a href=""/legal/"">Copyright and other Restrictions</a> </p>  <p>For guidance about compiling full citations consult <a href=""https://www.loc.gov/teachers/usingprimarysources/citing.html"">Citing Primary Sources</a>.</p> | No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html",Farm Security Administration - Office of War Information photograph collection (Library of Congress),English,2017843211,1 negative : safety ; 4 x 5 inches or smaller.,image/jpg | image/gif | image/tif,"Temp. note: owibatch3 | Title and other information from print in lot. | More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi | Film copy on SIS roll 5, frame 1994. | Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.",Image,"Photo, print, drawing",prints and photographs division | lot 682 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1.0,LC-USW3- 014844-C [P&P] LOT 682 (associated LOT),safety film negatives | united states | florida | daytona beach | volusia county,2021-09-04T15:58:03.714Z,"Daytona Beach, Florida. Bethune-Cookman College. Dr. Mary McLeod Bethune, founder and former president and director of the NYA (National Youth Administration) Negro Relations",https://www.loc.gov/item/2017843211/,"Parks, Gordon, 1912-2006",photographer,Florida--Volusia County--Daytona Beach | Daytona Beach | United States | Florida | Volusia County,United States--Florida--Volusia County--Daytona Beach,United States | Daytona Beach | Volusia County | Florida,"United States | Daytona Beach, Volusia County, Florida, United States | Volusia County, Florida, United States | Florida, United States",https://www.openstreetmap.org/relation/148838 | https://www.openstreetmap.org/relation/117945 | https://www.openstreetmap.org/relation/389025 | https://www.openstreetmap.org/relation/162050,39.7837304 | 29.2108147 | 29.0533409 | 27.7567667,-100.445882 | -81.0228331 | -81.1310761 | -81.4639835,Unknown | Volusia County | Volusia County | Unknown,Unknown | Unknown | Unknown | Unknown,Unknown | Florida | Florida | Florida,United States | United States | United States | United States,,,
PGA - Gentlemen Magazine--Representation... (A size) [P&P],Unknown,[no date recorded on shelflist card],[no date recorded on shelflist card],True,Natural-Disasters,,http://www.loc.gov/item/2003688585/,http://www.loc.gov/item/2003688585/manifest.json,https://tile.loc.gov/storage-services/service/pnp/pga/10700/10733r.jpg#h=538&w=640 | https://tile.loc.gov/storage-services/service/pnp/pga/10700/10733_150px.jpg#h=126&w=150 | https://tile.loc.gov/storage-services/service/pnp/pga/10700/10733v.jpg#h=861&w=1024,1,Still image,https://lccn.loc.gov/2003688585/mods,https://www.loc.gov/pictures/item/2003688585/marc/,https://lccn.loc.gov/2003688585/dc,https://lccn.loc.gov/2003688585/marcxml,"<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p> <p>Ultimately, it is the researcher's obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library's collections. </p> <p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/248_pga.html"">Popular Graphic Arts Collection - Rights and Restrictions Information</a> </p>    | No known restrictions on publication.",,English,2003688585,1 print.,image/jpg | image/gif | image/tif,This record contains unverified data from PGA shelflist card. | Associated name on shelflist card: Gentlemen Magazine.,Image,"Photo, print, drawing",prints and photographs division | catalog | popular graphic arts,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",1.0,PGA - Gentlemen Magazine--Representation... (A size) [P&P],,2021-07-10T12:47:32.546Z,Representation of waterspouts at St. Jago de la Vega in Jamaica,https://www.loc.gov/item/2003688585/,,,,,,,,,,,,,,,,
LOT 10632-3 [item] [P&P],Unknown,c1869.,1869,True,Bicycles,,http://www.loc.gov/item/2004671461/,http://www.loc.gov/item/2004671461/manifest.json,https://tile.loc.gov/storage-services/service/pnp/ppmsca/05500/05585r.jpg#h=640&w=313 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/05500/05585v.jpg#h=1024&w=501 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/05500/05585t.gif#h=150&w=73 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/05500/05585_150px.jpg#h=150&w=73 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/05500/05585_150px.jpg,1,Still image,https://lccn.loc.gov/2004671461/mods,https://www.loc.gov/pictures/item/2004671461/marc/,https://lccn.loc.gov/2004671461/dc,https://lccn.loc.gov/2004671461/marcxml,No known restrictions on publication.,Patent medicine labels and advertisements (Library of Congress),English,2004671461,"1 print : lithograph, color.",image/jpg | image/gif | image/jpeg | image/tif,Copyright 1869 by T.P. Spencer & Co. | Title from item.,Image,"Photo, print, drawing",prints and photographs division | lot 10632 | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",2.0,LOT 10632-3 [item] [P&P],women | hair preparations | bicycles & tricycles | cosmetics | health & welfare | color | lithographs | advertisements | grooming,2021-08-28T13:06:03.274Z,"Velocipede hair oil - highly perfumed by T.P. Spencer & Co., New York",https://www.loc.gov/item/2004671461/,,,,Women--Health & welfare--1860-1870 | Hair preparations--1860-1870 | Bicycles & tricycles--1860-1870 | Grooming--1860-1870 | Cosmetics--1860-1870,,,,,,,,,,Print of a patent medicine advertisement showing a woman riding a bicycle.,,
Unprocessed in PR 13 CN 2016:143 [item] [P&P],"Adams, Wilbur Henry 1906-1958, architect.",[between 1927 and 1928],1927,True,Skyscrapers,Renderings--1920-1930 | Student works--1920-1930 | Architectural drawings--1920-1930 | Watercolors--1920-1930,http://www.loc.gov/item/2017645568/,http://www.loc.gov/item/2017645568/manifest.json,https://tile.loc.gov/storage-services/service/pnp/ppss/00800/00887_150px.jpg#h=150&w=85 | https://tile.loc.gov/storage-services/service/pnp/ppss/00800/00887r.jpg#h=640&w=365 | https://tile.loc.gov/storage-services/service/pnp/ppss/00800/00887_150px.jpg | https://tile.loc.gov/storage-services/service/pnp/ppss/00800/00887v.jpg#h=1024&w=583,1,Still image,https://lccn.loc.gov/2017645568/mods,https://www.loc.gov/pictures/item/2017645568/marc/,https://lccn.loc.gov/2017645568/dc,https://lccn.loc.gov/2017645568/marcxml,No known restrictions on publication.,,English,2017645568,"1 drawing : watercolor, colored pencil, gouache, marker, and graphite ; sheet 136 x 94 cm.",image/jpg | image/gif | image/jpeg | image/tif,Title devised by Library staff. | Accession box no. PR 13 CN 2016:143 | Purchase; GL & Abigail Adams Greenway; 2016; (DLC/PP-2016:143). | Drawing made when Adams was a student at Massachusetts Institute of Technology.,Image,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1.0,Unprocessed in PR 13 CN 2016:143 [item] [P&P],renderings | watercolors | office buildings | architectural drawings | student works | skyscrapers,2021-08-28T13:41:47.724Z,[Skyscraper office building],https://www.loc.gov/item/2017645568/,"Adams, Wilbur Henry 1906-1958",architect,,Skyscrapers--1920-1930 | Office buildings--1920-1930,,,,,,,,,,Architectural drawing shows building as perspective projection rendering.,,
G4114.T3A3 1868 .R8,"Glover, E. S. (Eli Sheldon), 1844-1920. | Chicago Lithographing Co. | Ruger, A.",,1868,True,Maps-Of-Cities,,http://www.loc.gov/item/73693448/,http://www.loc.gov/item/73693448/manifest.json,https://tile.loc.gov/storage-services/service/gmd/gmd411/g4114/g4114t/pm003780.gif#h=150&w=187 | https://tile.loc.gov/storage-services/service/gmd/gmd411/g4114/g4114t/pm003780.gif | https://tile.loc.gov/image-services/iiif/service:gmd:gmd411:g4114:g4114t:pm003780/full/pct:12.5/0/default.jpg#h=764&w=950 | https://tile.loc.gov/image-services/iiif/service:gmd:gmd411:g4114:g4114t:pm003780/full/pct:25/0/default.jpg#h=1528&w=1900,1,Cartographic,https://lccn.loc.gov/73693448/mods,,https://lccn.loc.gov/73693448/dc,https://lccn.loc.gov/73693448/marcxml,"<p>The maps in the Map Collections materials were either published prior to  1922, produced by the United States government, or both (see catalogue  records that accompany each map for information regarding date of  publication and source). The Library of Congress is providing access to  these materials for educational and research purposes and is not aware of  any U.S. copyright protection (see Title 17 of the United States Code) or any  other restrictions in the Map Collection materials. </p> <p>Note that the written permission of the copyright owners and/or other rights  holders (such as publicity and/or privacy rights) is required for distribution,  reproduction, or other use of protected items beyond that allowed by fair use  or other statutory exemptions.  Responsibility for making an independent  legal assessment of an item and securing any necessary permissions  ultimately rests with persons desiring to use the item. </p> <p>Credit Line: Library of Congress, Geography and Map Division. </p>",,English,73693448,col. map 44 x 61 cm.,image/tiff | image/gif | image/jpeg | image/jp2,"Bird's-eye view. | LC Panoramic maps (2nd ed.), 378 | Vault | Perspective map not drawn to scale. | AACR2: 100; 651/1; 700/1; 710/2 | Includes ill. and index to points of interest. | Available also through the Library of Congress Web site as a raster image.",Image,Map,cities and towns | geography and map division | panoramic maps | american memory | catalog,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",1.0,G4114.T3A3 1868 .R8,tecumseh | united states | michigan | aerial views | tecumseh (mich.),2021-11-18T16:12:08.729Z,"Tecumseh, Lenawee Co., Michigan 1868.",https://www.loc.gov/item/73693448/,,,Tecumseh | Michigan | Tecumseh (Mich.) | United States,United States--Michigan--Tecumseh | Tecumseh (Mich.)--Aerial views,Tecumseh | United States | Michigan,"Tecumseh, Lenawee County, Michigan, 49286, United States | United States | Michigan, United States",https://www.openstreetmap.org/relation/135111 | https://www.openstreetmap.org/relation/148838 | https://www.openstreetmap.org/relation/165789,42.0039331 | 39.7837304 | 43.6211955,-83.9449417 | -100.445882 | -84.6824346,Lenawee County | Unknown | Unknown,Unknown | Unknown | Unknown,Michigan | Unknown | Michigan,United States | United States | United States,,,
LC-MA05- 3192 [P&P],"Margolies, John, photographer.",1985.,1985,True,John-Margolies-Roadside-America-Photograph-Archive,Slides--1980-1990.--Color,http://www.loc.gov/item/2017705303/,http://www.loc.gov/item/2017705303/manifest.json,https://tile.loc.gov/storage-services/service/pnp/mrg/03100/03192_150px.jpg#h=150&w=105 | https://tile.loc.gov/storage-services/service/pnp/mrg/03100/03192v.jpg#h=1024&w=714 | https://tile.loc.gov/storage-services/service/pnp/mrg/03100/03192r.jpg#h=640&w=446,1,Still image,https://lccn.loc.gov/2017705303/mods,https://www.loc.gov/pictures/item/2017705303/marc/,https://lccn.loc.gov/2017705303/dc,https://lccn.loc.gov/2017705303/marcxml,"No known restrictions on publication. For more information, see ""John Margolies Roadside America Photograph Archive - Rights and Restrictions Information"" https://www.loc.gov/rr/print/res/723_marg.html","Margolies, John John Margolies Roadside America photograph archive",English,2017705303,1 photograph : color transparency ; 35 mm (slide format).,image/jpg | image/gif | image/tif,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division. | Purchase; John Margolies 2010 (DLC/PP-2010:191). | Forms part of: John Margolies Roadside America photograph archive (1972-2008). | Title, date and keywords based on information provided by the photographer. | General information about the John Margolies Roadside America photograph archive is available at http://hdl.loc.gov/loc.pnp/pp.mrg",Image,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1.0,LC-MA05- 3192 [P&P],slides | riverside | united states | miniature golf | color | california,2022-02-26T13:54:11.781Z,"Haunted house, Castle Park Golf, Polk Street, Riverside, California",https://www.loc.gov/item/2017705303/,"Margolies, John",photographer,California--Riverside | Riverside | California | United States,Miniature golf--1980-1990 | United States--California--Riverside,United States | California | Riverside County,"United States | California, United States | Riverside County, CAL Fire Southern Region, California, United States",https://www.openstreetmap.org/relation/148838 | https://www.openstreetmap.org/relation/165475 | https://www.openstreetmap.org/relation/396495,39.7837304 | 36.7014631 | 33.7219991,-100.445882 | -118.755997 | -116.0372472,Unknown | Unknown | Riverside County,Unknown | Unknown | CAL Fire Southern Region,Unknown | California | California,United States | United States | United States,,,
